hrr,name,state,n_hospitals,total_beds,degree_cent,betweenness_cent,eigenvector_cent,btw_rank,deg_rank,community
205,KY- LOUISVILLE,IN,30,5431,0.023102310231023104,0.03328743470373527,0.001570281613292692,98,56,0
207,KY- OWENSBORO,KY,2,436,0.013201320132013201,0.16158503267545296,0.00022170028475705482,2,198,0
208,KY- PADUCAH,IL,12,1482,0.023102310231023104,0.06506677157782002,0.0031562118038932882,47,56,4
209,LA- ALEXANDRIA,LA,11,862,0.019801980198019802,0.04192074836622735,0.0006386334870255542,75,93,1
210,LA- BATON ROUGE,LA,18,2268,0.0165016501650165,0.011562083360653945,0.0001741567812815921,156,142,1
212,LA- HOUMA,LA,8,779,0.009900990099009901,0.005649902738618233,1.3250011417685201e-05,205,251,1
213,LA- LAFAYETTE,LA,19,1833,0.013201320132013201,0.003562607916420781,6.27368589765354e-05,218,198,1
214,LA- LAKE CHARLES,LA,7,758,0.009900990099009901,0.006207243240880379,3.703365378461058e-05,201,251,1
216,LA- METAIRIE,LA,8,830,0.0165016501650165,0.007015933381417611,7.840449536635378e-05,189,142,1
217,LA- MONROE,LA,14,1048,0.013201320132013201,6.55694708543702e-05,0.002293832062017273,252,198,1
218,LA- NEW ORLEANS,LA,9,2411,0.009900990099009901,0.006841081459139291,4.063128649977632e-06,191,251,1
219,LA- SHREVEPORT,LA,19,2093,0.023102310231023104,0.043865976001573666,0.005741842325134392,72,56,1
220,LA- SLIDELL,LA,6,550,0.013201320132013201,0.011037527593818984,5.915873377835283e-06,160,198,1
221,ME- BANGOR,ME,18,1014,0.0033003300330033004,0.0,1.9737001806812343e-10,281,299,6
222,ME- PORTLAND,ME,18,2427,0.009900990099009901,0.0066006600660066,2.2099537925137063e-09,193,251,6
223,MD- BALTIMORE,MD,24,6874,0.026402640264026403,0.1314012195921579,0.005851963132267676,5,31,2
225,MD- SALISBURY,DE,6,826,0.009900990099009901,0.13539002906913208,0.0003161478639096479,4,251,2
226,MD- TAKOMA PARK,MD,6,1282,0.006600660066006601,0.008808165584770397,0.00031066500772021944,176,286,7
227,MA- BOSTON,MA,41,8535,0.009900990099009901,0.0,6.619221436457664e-10,281,251,6
230,MA- SPRINGFIELD,MA,8,1381,0.013201320132013201,0.01878565339977706,1.3684530808686253e-08,137,198,6
231,MA- WORCESTER,MA,8,1063,0.019801980198019802,0.013059252945162065,3.10611491959946e-09,150,93,6
